E_PIZZA_ORDER_KEY,E_PIZZA_ID,E_ORDER_ID,ORDER_SIZE,SAUCE,CHEESE,MEAT,VEGGIES,BAKED,STARTTIMESTAMP,ENDTIMESTAMP,LATENCYMS
14_f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,14,f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764173618695,1764173635519,16824
14_f5187049-c9f4-44c8-b5ff-53878610baea,14,f5187049-c9f4-44c8-b5ff-53878610baea,100,tomato,['mozzarella'],['pepperoni'],[],False,1764174652950,1764174810190,157240
14_fe0c1f3a-2994-49b4-b93d-c7007756f322,14,fe0c1f3a-2994-49b4-b93d-c7007756f322,100,tomato,['mozzarella'],['pepperoni'],[],False,1764177324634,1764177340134,15500
14_fe8e08a8-777e-4986-a7e2-482b8f9fb831,14,fe8e08a8-777e-4986-a7e2-482b8f9fb831,100,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],False,1764175277343,1764175435570,158227
15_050b3fde-8b14-4304-9852-4553eb02f161,15,050b3fde-8b14-4304-9852-4553eb02f161,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764172973008,1764173057231,84223
15_067646a4-55fb-4794-a053-f0b8058b5d4b,15,067646a4-55fb-4794-a053-f0b8058b5d4b,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764172606353,1764172622181,15828
15_1c15c39d-92af-4ded-80f9-83ab37feb1d5,15,1c15c39d-92af-4ded-80f9-83ab37feb1d5,100,Sriracha-Tomato Blend,"['mozzarella', 'jalapeño jack']",['ground beef'],"['jalapeño', 'red bell pepper']",False,1764176709147,1764176752213,43066
15_367a96cd-8c2e-4297-a96c-8e35a863c6bc,15,367a96cd-8c2e-4297-a96c-8e35a863c6bc,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764174134252,1764174152029,17777
15_482f7ff0-faed-45c3-90a7-7fb2fd0be63b,15,482f7ff0-faed-45c3-90a7-7fb2fd0be63b,50,Sriracha-Tomato Blend,"['mozzarella', 'jalapeño jack']",['ground beef'],"['jalapeño', 'red bell pepper']",True,1764173468535,1764173508978,40443
15_66c49367-be59-420c-9602-7763eee79cfa,15,66c49367-be59-420c-9602-7763eee79cfa,50,tomato,['mozzarella'],[],['basil'],True,1764171297976,1764171316973,18997
15_7075519a-7d8c-49b4-9f8c-fa9b83857e42,15,7075519a-7d8c-49b4-9f8c-fa9b83857e42,50,Hollandaise Sauce,"['mozzarella', 'cheddar']","['sausage', 'bacon']","['scrambled egg', 'chives']",True,1764172126013,1764172143904,17891
15_9563c743-f1f0-4eb8-a12d-256f529be4b2,15,9563c743-f1f0-4eb8-a12d-256f529be4b2,50,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",True,1764171140870,1764171160079,19209
15_9caddd73-34e8-406b-b20b-2ab365bdfc6e,15,9caddd73-34e8-406b-b20b-2ab365bdfc6e,50,tomato,['mozzarella'],[],['basil'],True,1764171632945,1764171650810,17865
15_9dab3fa1-9659-4c1a-8667-62546b58f72f,15,9dab3fa1-9659-4c1a-8667-62546b58f72f,50,Hollandaise Sauce,"['mozzarella', 'cheddar']","['sausage', 'bacon']","['scrambled egg', 'chives']",True,1764173169638,1764173188382,18744
15_a37c3e48-f834-445e-b823-7bea1566b633,15,a37c3e48-f834-445e-b823-7bea1566b633,100,tomato,['mozzarella'],['pepperoni'],[],False,1764176273116,1764176326447,53331
15_bcb75833-4cf6-4879-90fd-1da4a23f8bc1,15,bcb75833-4cf6-4879-90fd-1da4a23f8bc1,50,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",True,1764172328686,1764172486148,157462
15_c46dc17e-41ac-4425-acf0-f57987a7dd22,15,c46dc17e-41ac-4425-acf0-f57987a7dd22,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764171807804,1764171830144,22340
15_df93b2e3-8576-4f50-8ff4-916e33571ea9,15,df93b2e3-8576-4f50-8ff4-916e33571ea9,100,Sriracha-Tomato Blend,"['mozzarella', 'jalapeño jack']",['ground beef'],"['jalapeño', 'red bell pepper']",False,1764175802567,1764175876605,74038
15_f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,15,f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764173621715,1764173638025,16310
15_f5187049-c9f4-44c8-b5ff-53878610baea,15,f5187049-c9f4-44c8-b5ff-53878610baea,100,tomato,['mozzarella'],['pepperoni'],[],False,1764174655754,1764174812698,156944
15_fe0c1f3a-2994-49b4-b93d-c7007756f322,15,fe0c1f3a-2994-49b4-b93d-c7007756f322,100,tomato,['mozzarella'],['pepperoni'],[],False,1764177327645,1764177343347,15702
15_fe8e08a8-777e-4986-a7e2-482b8f9fb831,15,fe8e08a8-777e-4986-a7e2-482b8f9fb831,100,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],False,1764175280352,1764175438076,157724
16_050b3fde-8b14-4304-9852-4553eb02f161,16,050b3fde-8b14-4304-9852-4553eb02f161,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764172976018,1764173059736,83718
16_067646a4-55fb-4794-a053-f0b8058b5d4b,16,067646a4-55fb-4794-a053-f0b8058b5d4b,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764172609370,1764172625894,16524
16_1c15c39d-92af-4ded-80f9-83ab37feb1d5,16,1c15c39d-92af-4ded-80f9-83ab37feb1d5,100,Sriracha-Tomato Blend,"['mozzarella', 'jalapeño jack']",['ground beef'],"['jalapeño', 'red bell pepper']",False,1764176712158,1764176754720,42562
16_367a96cd-8c2e-4297-a96c-8e35a863c6bc,16,367a96cd-8c2e-4297-a96c-8e35a863c6bc,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764174137262,1764174154534,17272
16_482f7ff0-faed-45c3-90a7-7fb2fd0be63b,16,482f7ff0-faed-45c3-90a7-7fb2fd0be63b,50,tomato,['mozzarella'],[],['basil'],True,1764173471559,1764173511483,39924
16_66c49367-be59-420c-9602-7763eee79cfa,16,66c49367-be59-420c-9602-7763eee79cfa,50,tomato,['mozzarella'],[],['basil'],True,1764171301081,1764171319478,18397
16_7075519a-7d8c-49b4-9f8c-fa9b83857e42,16,7075519a-7d8c-49b4-9f8c-fa9b83857e42,50,tomato,['mozzarella'],['pepperoni'],[],True,1764172129031,1764172146410,17379
16_9563c743-f1f0-4eb8-a12d-256f529be4b2,16,9563c743-f1f0-4eb8-a12d-256f529be4b2,50,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",True,1764171143881,1764171162586,18705
16_9caddd73-34e8-406b-b20b-2ab365bdfc6e,16,9caddd73-34e8-406b-b20b-2ab365bdfc6e,50,Hollandaise Sauce,"['mozzarella', 'cheddar']","['sausage', 'bacon']","['scrambled egg', 'chives']",True,1764171635956,1764171653320,17364
16_9dab3fa1-9659-4c1a-8667-62546b58f72f,16,9dab3fa1-9659-4c1a-8667-62546b58f72f,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764173172661,1764173190887,18226
16_a37c3e48-f834-445e-b823-7bea1566b633,16,a37c3e48-f834-445e-b823-7bea1566b633,100,tomato,['mozzarella'],['pepperoni'],[],False,1764176276124,1764176328952,52828
16_bcb75833-4cf6-4879-90fd-1da4a23f8bc1,16,bcb75833-4cf6-4879-90fd-1da4a23f8bc1,50,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",True,1764172331696,1764172488660,156964
16_c46dc17e-41ac-4425-acf0-f57987a7dd22,16,c46dc17e-41ac-4425-acf0-f57987a7dd22,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764171811135,1764171832649,21514
16_df93b2e3-8576-4f50-8ff4-916e33571ea9,16,df93b2e3-8576-4f50-8ff4-916e33571ea9,100,Sriracha-Tomato Blend,"['mozzarella', 'jalapeño jack']",['ground beef'],"['jalapeño', 'red bell pepper']",False,1764175826780,1764175879111,52331
16_f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,16,f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764173624725,1764173641737,17012
16_f5187049-c9f4-44c8-b5ff-53878610baea,16,f5187049-c9f4-44c8-b5ff-53878610baea,100,tomato,['mozzarella'],['pepperoni'],[],False,1764174658763,1764174815203,156440
16_fe0c1f3a-2994-49b4-b93d-c7007756f322,16,fe0c1f3a-2994-49b4-b93d-c7007756f322,100,tomato,['mozzarella'],['pepperoni'],[],False,1764177330671,1764177347055,16384
16_fe8e08a8-777e-4986-a7e2-482b8f9fb831,16,fe8e08a8-777e-4986-a7e2-482b8f9fb831,100,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],False,1764175283362,1764175440581,157219
