ORDERID,MACHINEID,REQUESTTIMESTAMP,COMPLETEDTIMESTAMP,RESTOCKLATENCYMS
09226a10-fb12-4537-a1ca-9ff54569893f,meat-machine,1764707494076,1764707530093,36017
2850e648-6f46-4d54-8682-47bce1dc2544,meat-machine,1764709175327,1764709211377,36050
33c24aba-e9e3-4fc7-a835-11d56a4b8049,meat-machine,1764708750211,1764708821401,71190
7b8eb8cd-65fe-4711-8bb7-ff2ee2572784,meat-machine,1764708053357,1764708163652,110295
8c42be1d-07bc-4226-bedf-bbf5d19999bd,meat-machine,1764707246941,1764707296274,49333
ad31a4bc-e9b9-40c9-a71e-5f1b9b1e6ad7,meat-machine,1764711075269,1764711155872,80603
c049e65c-02a6-4500-a736-6920e14a3f5f,meat-machine,1764710538710,1764710574733,36023
